Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
11,nonword,prlls,neutral,he,nocontext,,1,door,he,he prlls the,prlls,the,door,Does,pull,he prlls the door,Does he pull the door?,16,Yes,No,0,0,True,11
12,random,usiled,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he usiled the",usiled,the,clothes,Did,dry,"in the laundry room, he usiled the clothes",Did he dry the clothes?,16,Yes,No,0,0,True,12
13,word1,failed,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he failed the",failed,the,exam,Did,fail,"at the postal service desk, he failed the exam",Did he fail the exam?,16,Yes,No,0,0,True,13
14,word2,fired,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team fired the,fired,the,lawsuit,Did,file,the legal team fired the lawsuit,Did the legal team file the lawsuit?,16,Yes,No,0,0,True,14
15,word2_control,plants,subject2,the farmer,nocontext,,1,boat,the farmer,the farmer plants the,plants,the,boat,Does,row,the farmer plants the boat,Does the farmer row the boat?,16,Yes,No,0,0,True,15
16,nonword,segls,neutral,he,nocontext,,1,bottle,he,he segls the,segls,the,bottle,Does,seal,he segls the bottle,Does he seal the bottle?,16,Yes,No,0,0,True,16
17,random,gpaled,neutral,he,context1,"surrounded by gunfire, ",1,enemy,"surrounded by gunfire, he","surrounded by gunfire, he gpaled the",gpaled,the,enemy,Did,battle,"surrounded by gunfire, he gpaled the enemy",Did he battle the enemy?,16,Yes,No,0,0,True,17
18,word1,believed,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he believed her",believed,her,claim,Did,believe,"in the clinic, he believed her claim",Did he believe her claim?,16,Yes,No,0,0,True,18
19,word2,killed,subject1,the counselor,nocontext,,1,client,the counselor,the counselor killed the,killed,the,client,Did,bill,the counselor killed the client,Did the counselor bill the client?,16,Yes,No,0,0,True,19
20,word2_control,munches,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man munches the,munches,the,study,Does,cite,the hungry man munches the study,Does the hungry man cite the study?,16,Yes,No,0,0,True,20
21,nonword,attacmed,neutral,he,nocontext,,1,file,he,he attacmed the,attacmed,the,file,Did,attach,he attacmed the file,Did he attach the file?,16,Yes,No,0,0,True,21
22,random,tenrrons,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he tenrrons a",tenrrons,a,fortune,Does,earn,"because of the good economic situation, he tenrrons a fortune",Does he earn a fortune?,16,Yes,No,0,0,True,22
23,word1,bumped,neutral,he,context2,"inside the garbage room, ",1,car,"inside the garbage room, he","inside the garbage room, he bumped the",bumped,the,car,Does,bump,"inside the garbage room, he bumped the car",Does he bump the car?,16,Yes,No,0,0,True,23
24,word2,closed,subject1,the scientist,nocontext,,1,gene,the scientist,the scientist closed the,closed,the,gene,Did,clone,the scientist closed the gene,Did the scientist clone the gene?,16,Yes,No,0,0,True,24
25,word2_control,mimics,subject2,the naughty boy,nocontext,,1,boat,the naughty boy,the naughty boy mimics the,mimics,the,boat,Does,dock,the naughty boy mimics the boat,Does the naughty boy dock the boat?,16,Yes,No,0,0,True,25
26,nonword,jominated,neutral,he,nocontext,,1,game,he,he jominated the,jominated,the,game,Did,dominate,he jominated the game,Did he dominate the game?,16,Yes,No,0,0,True,26
27,random,iguls,neutral,he,context1,"at the poker table, ",1,card,"at the poker table, he","at the poker table, he iguls the",iguls,the,card,Does,draw,"at the poker table, he iguls the card",Does he draw the card?,16,Yes,No,0,0,True,27
28,word1,drills,neutral,he,context2,"at the BBQ restaurant, ",1,wood,"at the BBQ restaurant, he","at the BBQ restaurant, he drills the",drills,the,wood,Does,drill,"at the BBQ restaurant, he drills the wood",Does he drill the wood?,16,Yes,No,0,0,True,28
29,word2,evaluated,subject1,the security staff,nocontext,,1,building,the security staff,the security staff evaluated the,evaluated,the,building,Did,evacuate,the security staff evaluated the building,Did the security staff evacuate the building?,16,Yes,No,0,0,True,29
30,word2_control,rented,subject2,the tenant,nocontext,,1,puppy,the tenant,the tenant rented the,rented,the,puppy,Did,tease,the tenant rented the puppy,Did the tenant tease the puppy?,16,Yes,No,0,0,True,30
31,nonword,pdtched,neutral,he,nocontext,,1,pants,he,he pdtched the,pdtched,the,pants,Did,patch,he pdtched the pants,Did he patch the pants?,16,Yes,No,0,0,True,31
32,random,nioled,neutral,he,context1,"when learning to knit, ",1,finger,"when learning to knit, he","when learning to knit, he nioled his",nioled,his,finger,Did,prick,"when learning to knit, he nioled his finger",Did he prick his finger?,16,Yes,No,0,0,True,32
33,word1,revived,neutral,he,context2,"after receiving the submission, ",1,patient,"after receiving the submission, he","after receiving the submission, he revived the",revived,the,patient,Did,revive,"after receiving the submission, he revived the patient",Did he revive the patient?,16,Yes,No,0,0,True,33
34,word2,shipped,subject1,the student,nocontext,,1,class,the student,the student shipped the,shipped,the,class,Does,skip,the student shipped the class,Does the student skip the class?,16,Yes,No,0,0,True,34
35,word2_control,touches,subject2,the cashier,nocontext,,1,waiter,the cashier,the cashier touches the,touches,the,waiter,Does,tip,the cashier touches the waiter,Does the cashier tip the waiter?,16,Yes,No,0,0,True,35
