item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,subject_context_condition,item,condition_id
1_random_subject2_nocontext,random,artled,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth artled the,artled,the,ball,Did,kick,the child with a sweet tooth artled the ball,Did the child with a sweet tooth kick the ball?,subject2_nocontext,1,random_subject2_nocontext
2_word1_neutral_nocontext,word1,is taking,neutral,he,nocontext,,1,photo,he,he is taking a,is taking,a,photo,Is,taking,he is taking a photo,Is he taking a photo?,neutral_nocontext,2,word1_neutral_nocontext
2_word1_neutral_context1,word1,is taking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is taking a",is taking,a,photo,Is,taking,"in the film studio, he is taking a photo",Is he taking a photo?,neutral_context1,2,word1_neutral_context1
2_word1_neutral_context2,word1,is taking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is taking a",is taking,a,photo,Is,taking,"in the kitchen, he is taking a photo",Is he taking a photo?,neutral_context2,2,word1_neutral_context2
2_word1_subject1_nocontext,word1,is taking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is taking a,is taking,a,photo,Is,taking,the photographer is taking a photo,Is the photographer taking a photo?,subject1_nocontext,2,word1_subject1_nocontext
2_word1_subject2_nocontext,word1,is taking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is taking a,is taking,a,photo,Is,taking,the pastry chef is taking a photo,Is the pastry chef taking a photo?,subject2_nocontext,2,word1_subject2_nocontext
2_word2_neutral_nocontext,word2,is baking,neutral,he,nocontext,,1,photo,he,he is baking a,is baking,a,photo,Is,taking,he is baking a photo,Is he taking a photo?,neutral_nocontext,2,word2_neutral_nocontext
2_word2_neutral_context1,word2,is baking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is baking a",is baking,a,photo,Is,taking,"in the film studio, he is baking a photo",Is he taking a photo?,neutral_context1,2,word2_neutral_context1
2_word2_neutral_context2,word2,is baking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is baking a",is baking,a,photo,Is,taking,"in the kitchen, he is baking a photo",Is he taking a photo?,neutral_context2,2,word2_neutral_context2
2_word2_subject1_nocontext,word2,is baking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is baking a,is baking,a,photo,Is,taking,the photographer is baking a photo,Is the photographer taking a photo?,subject1_nocontext,2,word2_subject1_nocontext
2_word2_subject2_nocontext,word2,is baking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is baking a,is baking,a,photo,Is,taking,the pastry chef is baking a photo,Is the pastry chef taking a photo?,subject2_nocontext,2,word2_subject2_nocontext
2_word2_control_neutral_nocontext,word2_control,is cooking,neutral,he,nocontext,,1,photo,he,he is cooking a,is cooking,a,photo,Is,taking,he is cooking a photo,Is he taking a photo?,neutral_nocontext,2,word2_control_neutral_nocontext
2_word2_control_neutral_context1,word2_control,is cooking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is cooking a",is cooking,a,photo,Is,taking,"in the film studio, he is cooking a photo",Is he taking a photo?,neutral_context1,2,word2_control_neutral_context1
2_word2_control_neutral_context2,word2_control,is cooking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is cooking a",is cooking,a,photo,Is,taking,"in the kitchen, he is cooking a photo",Is he taking a photo?,neutral_context2,2,word2_control_neutral_context2
2_word2_control_subject1_nocontext,word2_control,is cooking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is cooking a,is cooking,a,photo,Is,taking,the photographer is cooking a photo,Is the photographer taking a photo?,subject1_nocontext,2,word2_control_subject1_nocontext
2_word2_control_subject2_nocontext,word2_control,is cooking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is cooking a,is cooking,a,photo,Is,taking,the pastry chef is cooking a photo,Is the pastry chef taking a photo?,subject2_nocontext,2,word2_control_subject2_nocontext
2_nonword_neutral_nocontext,nonword,is zaking,neutral,he,nocontext,,1,photo,he,he is zaking a,is zaking,a,photo,Is,taking,he is zaking a photo,Is he taking a photo?,neutral_nocontext,2,nonword_neutral_nocontext
2_nonword_neutral_context1,nonword,is zaking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is zaking a",is zaking,a,photo,Is,taking,"in the film studio, he is zaking a photo",Is he taking a photo?,neutral_context1,2,nonword_neutral_context1
2_nonword_neutral_context2,nonword,is zaking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is zaking a",is zaking,a,photo,Is,taking,"in the kitchen, he is zaking a photo",Is he taking a photo?,neutral_context2,2,nonword_neutral_context2
2_nonword_subject1_nocontext,nonword,is zaking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is zaking a,is zaking,a,photo,Is,taking,the photographer is zaking a photo,Is the photographer taking a photo?,subject1_nocontext,2,nonword_subject1_nocontext
2_nonword_subject2_nocontext,nonword,is zaking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is zaking a,is zaking,a,photo,Is,taking,the pastry chef is zaking a photo,Is the pastry chef taking a photo?,subject2_nocontext,2,nonword_subject2_nocontext
2_random_neutral_nocontext,random,is ploking,neutral,he,nocontext,,1,photo,he,he is ploking a,is ploking,a,photo,Is,taking,he is ploking a photo,Is he taking a photo?,neutral_nocontext,2,random_neutral_nocontext
2_random_neutral_context1,random,is ploking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is ploking a",is ploking,a,photo,Is,taking,"in the film studio, he is ploking a photo",Is he taking a photo?,neutral_context1,2,random_neutral_context1
2_random_neutral_context2,random,is ploking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is ploking a",is ploking,a,photo,Is,taking,"in the kitchen, he is ploking a photo",Is he taking a photo?,neutral_context2,2,random_neutral_context2
2_random_subject1_nocontext,random,is ploking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is ploking a,is ploking,a,photo,Is,taking,the photographer is ploking a photo,Is the photographer taking a photo?,subject1_nocontext,2,random_subject1_nocontext
2_random_subject2_nocontext,random,is ploking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is ploking a,is ploking,a,photo,Is,taking,the pastry chef is ploking a photo,Is the pastry chef taking a photo?,subject2_nocontext,2,random_subject2_nocontext
3_word1_neutral_nocontext,word1,sent,neutral,he,nocontext,,1,letter,he,he sent his,sent,his,letter,Did,send,he sent his letter,Did he send his letter?,neutral_nocontext,3,word1_neutral_nocontext
3_word1_neutral_context1,word1,sent,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he sent his",sent,his,letter,Did,send,"at the post office, he sent his letter",Did he send his letter?,neutral_context1,3,word1_neutral_context1
3_word1_neutral_context2,word1,sent,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he sent his",sent,his,letter,Did,send,"in the dance studio, he sent his letter",Did he send his letter?,neutral_context2,3,word1_neutral_context2
3_word1_subject1_nocontext,word1,sent,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman sent his,sent,his,letter,Did,send,the mailman sent his letter,Did the mailman send his letter?,subject1_nocontext,3,word1_subject1_nocontext
3_word1_subject2_nocontext,word1,sent,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast sent his,sent,his,letter,Did,send,the gymnast sent his letter,Did the gymnast send his letter?,subject2_nocontext,3,word1_subject2_nocontext
3_word2_neutral_nocontext,word2,bent,neutral,he,nocontext,,1,letter,he,he bent his,bent,his,letter,Did,send,he bent his letter,Did he send his letter?,neutral_nocontext,3,word2_neutral_nocontext
3_word2_neutral_context1,word2,bent,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he bent his",bent,his,letter,Did,send,"at the post office, he bent his letter",Did he send his letter?,neutral_context1,3,word2_neutral_context1
3_word2_neutral_context2,word2,bent,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he bent his",bent,his,letter,Did,send,"in the dance studio, he bent his letter",Did he send his letter?,neutral_context2,3,word2_neutral_context2
3_word2_subject1_nocontext,word2,bent,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman bent his,bent,his,letter,Did,send,the mailman bent his letter,Did the mailman send his letter?,subject1_nocontext,3,word2_subject1_nocontext
3_word2_subject2_nocontext,word2,bent,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast bent his,bent,his,letter,Did,send,the gymnast bent his letter,Did the gymnast send his letter?,subject2_nocontext,3,word2_subject2_nocontext
3_word2_control_neutral_nocontext,word2_control,stretched,neutral,he,nocontext,,1,letter,he,he stretched his,stretched,his,letter,Did,send,he stretched his letter,Did he send his letter?,neutral_nocontext,3,word2_control_neutral_nocontext
3_word2_control_neutral_context1,word2_control,stretched,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he stretched his",stretched,his,letter,Did,send,"at the post office, he stretched his letter",Did he send his letter?,neutral_context1,3,word2_control_neutral_context1
3_word2_control_neutral_context2,word2_control,stretched,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he stretched his",stretched,his,letter,Did,send,"in the dance studio, he stretched his letter",Did he send his letter?,neutral_context2,3,word2_control_neutral_context2
3_word2_control_subject1_nocontext,word2_control,stretched,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman stretched his,stretched,his,letter,Did,send,the mailman stretched his letter,Did the mailman send his letter?,subject1_nocontext,3,word2_control_subject1_nocontext
3_word2_control_subject2_nocontext,word2_control,stretched,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast stretched his,stretched,his,letter,Did,send,the gymnast stretched his letter,Did the gymnast send his letter?,subject2_nocontext,3,word2_control_subject2_nocontext
3_nonword_neutral_nocontext,nonword,ient,neutral,he,nocontext,,1,letter,he,he ient his,ient,his,letter,Did,send,he ient his letter,Did he send his letter?,neutral_nocontext,3,nonword_neutral_nocontext
3_nonword_neutral_context1,nonword,ient,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he ient his",ient,his,letter,Did,send,"at the post office, he ient his letter",Did he send his letter?,neutral_context1,3,nonword_neutral_context1
3_nonword_neutral_context2,nonword,ient,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he ient his",ient,his,letter,Did,send,"in the dance studio, he ient his letter",Did he send his letter?,neutral_context2,3,nonword_neutral_context2
3_nonword_subject1_nocontext,nonword,ient,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman ient his,ient,his,letter,Did,send,the mailman ient his letter,Did the mailman send his letter?,subject1_nocontext,3,nonword_subject1_nocontext
3_nonword_subject2_nocontext,nonword,ient,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast ient his,ient,his,letter,Did,send,the gymnast ient his letter,Did the gymnast send his letter?,subject2_nocontext,3,nonword_subject2_nocontext
3_random_neutral_nocontext,random,lunriched,neutral,he,nocontext,,1,letter,he,he lunriched his,lunriched,his,letter,Did,send,he lunriched his letter,Did he send his letter?,neutral_nocontext,3,random_neutral_nocontext
3_random_neutral_context1,random,lunriched,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he lunriched his",lunriched,his,letter,Did,send,"at the post office, he lunriched his letter",Did he send his letter?,neutral_context1,3,random_neutral_context1
3_random_neutral_context2,random,lunriched,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he lunriched his",lunriched,his,letter,Did,send,"in the dance studio, he lunriched his letter",Did he send his letter?,neutral_context2,3,random_neutral_context2
3_random_subject1_nocontext,random,lunriched,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman lunriched his,lunriched,his,letter,Did,send,the mailman lunriched his letter,Did the mailman send his letter?,subject1_nocontext,3,random_subject1_nocontext
3_random_subject2_nocontext,random,lunriched,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast lunriched his,lunriched,his,letter,Did,send,the gymnast lunriched his letter,Did the gymnast send his letter?,subject2_nocontext,3,random_subject2_nocontext
4_word1_neutral_nocontext,word1,sang,neutral,he,nocontext,,1,song,he,he sang the,sang,the,song,Did,sing,he sang the song,Did he sing the song?,neutral_nocontext,4,word1_neutral_nocontext
4_word1_neutral_context1,word1,sang,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he sang the",sang,the,song,Did,sing,"on the stage in the tavern, he sang the song",Did he sing the song?,neutral_context1,4,word1_neutral_context1
4_word1_neutral_context2,word1,sang,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he sang the",sang,the,song,Did,sing,"at the hotel front desk, he sang the song",Did he sing the song?,neutral_context2,4,word1_neutral_context2
4_word1_subject1_nocontext,word1,sang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour sang the,sang,the,song,Did,sing,the troubadour sang the song,Did the troubadour sing the song?,subject1_nocontext,4,word1_subject1_nocontext
4_word1_subject2_nocontext,word1,sang,subject2,the guest,nocontext,,1,song,the guest,the guest sang the,sang,the,song,Did,sing,the guest sang the song,Did the guest sing the song?,subject2_nocontext,4,word1_subject2_nocontext
4_word2_neutral_nocontext,word2,rang,neutral,he,nocontext,,1,song,he,he rang the,rang,the,song,Did,sing,he rang the song,Did he sing the song?,neutral_nocontext,4,word2_neutral_nocontext
4_word2_neutral_context1,word2,rang,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he rang the",rang,the,song,Did,sing,"on the stage in the tavern, he rang the song",Did he sing the song?,neutral_context1,4,word2_neutral_context1
4_word2_neutral_context2,word2,rang,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he rang the",rang,the,song,Did,sing,"at the hotel front desk, he rang the song",Did he sing the song?,neutral_context2,4,word2_neutral_context2
4_word2_subject1_nocontext,word2,rang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour rang the,rang,the,song,Did,sing,the troubadour rang the song,Did the troubadour sing the song?,subject1_nocontext,4,word2_subject1_nocontext
4_word2_subject2_nocontext,word2,rang,subject2,the guest,nocontext,,1,song,the guest,the guest rang the,rang,the,song,Did,sing,the guest rang the song,Did the guest sing the song?,subject2_nocontext,4,word2_subject2_nocontext
4_word2_control_neutral_nocontext,word2_control,pressed,neutral,he,nocontext,,1,song,he,he pressed the,pressed,the,song,Did,sing,he pressed the song,Did he sing the song?,neutral_nocontext,4,word2_control_neutral_nocontext
4_word2_control_neutral_context1,word2_control,pressed,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he pressed the",pressed,the,song,Did,sing,"on the stage in the tavern, he pressed the song",Did he sing the song?,neutral_context1,4,word2_control_neutral_context1
4_word2_control_neutral_context2,word2_control,pressed,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he pressed the",pressed,the,song,Did,sing,"at the hotel front desk, he pressed the song",Did he sing the song?,neutral_context2,4,word2_control_neutral_context2
4_word2_control_subject1_nocontext,word2_control,pressed,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour pressed the,pressed,the,song,Did,sing,the troubadour pressed the song,Did the troubadour sing the song?,subject1_nocontext,4,word2_control_subject1_nocontext
4_word2_control_subject2_nocontext,word2_control,pressed,subject2,the guest,nocontext,,1,song,the guest,the guest pressed the,pressed,the,song,Did,sing,the guest pressed the song,Did the guest sing the song?,subject2_nocontext,4,word2_control_subject2_nocontext
4_nonword_neutral_nocontext,nonword,eang,neutral,he,nocontext,,1,song,he,he eang the,eang,the,song,Did,sing,he eang the song,Did he sing the song?,neutral_nocontext,4,nonword_neutral_nocontext
4_nonword_neutral_context1,nonword,eang,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he eang the",eang,the,song,Did,sing,"on the stage in the tavern, he eang the song",Did he sing the song?,neutral_context1,4,nonword_neutral_context1
4_nonword_neutral_context2,nonword,eang,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he eang the",eang,the,song,Did,sing,"at the hotel front desk, he eang the song",Did he sing the song?,neutral_context2,4,nonword_neutral_context2
4_nonword_subject1_nocontext,nonword,eang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour eang the,eang,the,song,Did,sing,the troubadour eang the song,Did the troubadour sing the song?,subject1_nocontext,4,nonword_subject1_nocontext
4_nonword_subject2_nocontext,nonword,eang,subject2,the guest,nocontext,,1,song,the guest,the guest eang the,eang,the,song,Did,sing,the guest eang the song,Did the guest sing the song?,subject2_nocontext,4,nonword_subject2_nocontext
4_random_neutral_nocontext,random,phrssed,neutral,he,nocontext,,1,song,he,he phrssed the,phrssed,the,song,Did,sing,he phrssed the song,Did he sing the song?,neutral_nocontext,4,random_neutral_nocontext
4_random_neutral_context1,random,phrssed,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he phrssed the",phrssed,the,song,Did,sing,"on the stage in the tavern, he phrssed the song",Did he sing the song?,neutral_context1,4,random_neutral_context1
4_random_neutral_context2,random,phrssed,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he phrssed the",phrssed,the,song,Did,sing,"at the hotel front desk, he phrssed the song",Did he sing the song?,neutral_context2,4,random_neutral_context2
4_random_subject1_nocontext,random,phrssed,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour phrssed the,phrssed,the,song,Did,sing,the troubadour phrssed the song,Did the troubadour sing the song?,subject1_nocontext,4,random_subject1_nocontext
4_random_subject2_nocontext,random,phrssed,subject2,the guest,nocontext,,1,song,the guest,the guest phrssed the,phrssed,the,song,Did,sing,the guest phrssed the song,Did the guest sing the song?,subject2_nocontext,4,random_subject2_nocontext
5_word1_neutral_nocontext,word1,is reading,neutral,he,nocontext,,1,book,he,he is reading the,is reading,the,book,Is,reading,he is reading the book,Is he reading the book?,neutral_nocontext,5,word1_neutral_nocontext
5_word1_neutral_context1,word1,is reading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is reading the",is reading,the,book,Is,reading,"in the library, he is reading the book",Is he reading the book?,neutral_context1,5,word1_neutral_context1
5_word1_neutral_context2,word1,is reading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is reading the",is reading,the,book,Is,reading,"after the manager resigned, he is reading the book",Is he reading the book?,neutral_context2,5,word1_neutral_context2
5_word1_subject1_nocontext,word1,is reading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is reading the,is reading,the,book,Is,reading,the bookworm is reading the book,Is the bookworm reading the book?,subject1_nocontext,5,word1_subject1_nocontext
5_word1_subject2_nocontext,word1,is reading,subject2,the coach,nocontext,,1,book,the coach,the coach is reading the,is reading,the,book,Is,reading,the coach is reading the book,Is the coach reading the book?,subject2_nocontext,5,word1_subject2_nocontext
5_word2_neutral_nocontext,word2,is leading,neutral,he,nocontext,,1,book,he,he is leading the,is leading,the,book,Is,reading,he is leading the book,Is he reading the book?,neutral_nocontext,5,word2_neutral_nocontext
5_word2_neutral_context1,word2,is leading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is leading the",is leading,the,book,Is,reading,"in the library, he is leading the book",Is he reading the book?,neutral_context1,5,word2_neutral_context1
5_word2_neutral_context2,word2,is leading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is leading the",is leading,the,book,Is,reading,"after the manager resigned, he is leading the book",Is he reading the book?,neutral_context2,5,word2_neutral_context2
5_word2_subject1_nocontext,word2,is leading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is leading the,is leading,the,book,Is,reading,the bookworm is leading the book,Is the bookworm reading the book?,subject1_nocontext,5,word2_subject1_nocontext
5_word2_subject2_nocontext,word2,is leading,subject2,the coach,nocontext,,1,book,the coach,the coach is leading the,is leading,the,book,Is,reading,the coach is leading the book,Is the coach reading the book?,subject2_nocontext,5,word2_subject2_nocontext
5_word2_control_neutral_nocontext,word2_control,is managing,neutral,he,nocontext,,1,book,he,he is managing the,is managing,the,book,Is,reading,he is managing the book,Is he reading the book?,neutral_nocontext,5,word2_control_neutral_nocontext
5_word2_control_neutral_context1,word2_control,is managing,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is managing the",is managing,the,book,Is,reading,"in the library, he is managing the book",Is he reading the book?,neutral_context1,5,word2_control_neutral_context1
5_word2_control_neutral_context2,word2_control,is managing,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is managing the",is managing,the,book,Is,reading,"after the manager resigned, he is managing the book",Is he reading the book?,neutral_context2,5,word2_control_neutral_context2
5_word2_control_subject1_nocontext,word2_control,is managing,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is managing the,is managing,the,book,Is,reading,the bookworm is managing the book,Is the bookworm reading the book?,subject1_nocontext,5,word2_control_subject1_nocontext
5_word2_control_subject2_nocontext,word2_control,is managing,subject2,the coach,nocontext,,1,book,the coach,the coach is managing the,is managing,the,book,Is,reading,the coach is managing the book,Is the coach reading the book?,subject2_nocontext,5,word2_control_subject2_nocontext
5_nonword_neutral_nocontext,nonword,is zeading,neutral,he,nocontext,,1,book,he,he is zeading the,is zeading,the,book,Is,reading,he is zeading the book,Is he reading the book?,neutral_nocontext,5,nonword_neutral_nocontext
