item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
18_random_neutral_context2,swenced,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he swenced her",swenced,her,claim,Did,believe,"in the clinic, he swenced her claim",Did he believe her claim?,Yes,No,0,0,True,random_neutral_context2,18,random,neutral_context2,11
19_word1_subject1_nocontext,billed,subject1,the counselor,nocontext,,1,client,the counselor,the counselor billed the,billed,the,client,Did,bill,the counselor billed the client,Did the counselor bill the client?,Yes,No,0,0,True,word1_subject1_nocontext,19,word1,subject1_nocontext,11
20_word2_subject2_nocontext,bites,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man bites the,bites,the,study,Does,cite,the hungry man bites the study,Does the hungry man cite the study?,Yes,No,0,0,True,word2_subject2_nocontext,20,word2,subject2_nocontext,11
21_word2_control_neutral_nocontext,struck,neutral,he,nocontext,,1,file,he,he struck the,struck,the,file,Did,attach,he struck the file,Did he attach the file?,Yes,No,0,0,True,word2_control_neutral_nocontext,21,word2_control,neutral_nocontext,11
22_nonword_neutral_context1,narns,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he narns a",narns,a,fortune,Does,earn,"because of the good economic situation, he narns a fortune",Does he earn a fortune?,Yes,No,0,0,True,nonword_neutral_context1,22,nonword,neutral_context1,11
23_random_neutral_context2,buryarded,neutral,he,context2,"inside the garbage room, ",1,car,"inside the garbage room, he","inside the garbage room, he buryarded the",buryarded,the,car,Does,bump,"inside the garbage room, he buryarded the car",Does he bump the car?,Yes,No,0,0,True,random_neutral_context2,23,random,neutral_context2,11
24_word1_subject1_nocontext,cloned,subject1,the scientist,nocontext,,1,gene,the scientist,the scientist cloned the,cloned,the,gene,Did,clone,the scientist cloned the gene,Did the scientist clone the gene?,Yes,No,0,0,True,word1_subject1_nocontext,24,word1,subject1_nocontext,11
25_word2_subject2_nocontext,mocks,subject2,the naughty boy,nocontext,,1,boat,the naughty boy,the naughty boy mocks the,mocks,the,boat,Does,dock,the naughty boy mocks the boat,Does the naughty boy dock the boat?,Yes,No,0,0,True,word2_subject2_nocontext,25,word2,subject2_nocontext,11
26_word2_control_neutral_nocontext,recommended,neutral,he,nocontext,,1,game,he,he recommended the,recommended,the,game,Did,dominate,he recommended the game,Did he dominate the game?,Yes,No,0,0,True,word2_control_neutral_nocontext,26,word2_control,neutral_nocontext,11
27_nonword_neutral_context1,drazs,neutral,he,context1,"at the poker table, ",1,card,"at the poker table, he","at the poker table, he drazs the",drazs,the,card,Does,draw,"at the poker table, he drazs the card",Does he draw the card?,Yes,No,0,0,True,nonword_neutral_context1,27,nonword,neutral_context1,11
28_random_neutral_context2,yuails,neutral,he,context2,"at the BBQ restaurant, ",1,wood,"at the BBQ restaurant, he","at the BBQ restaurant, he yuails the",yuails,the,wood,Does,drill,"at the BBQ restaurant, he yuails the wood",Does he drill the wood?,Yes,No,0,0,True,random_neutral_context2,28,random,neutral_context2,11
29_word1_subject1_nocontext,evacuated,subject1,the security staff,nocontext,,1,building,the security staff,the security staff evacuated the,evacuated,the,building,Did,evacuate,the security staff evacuated the building,Did the security staff evacuate the building?,Yes,No,0,0,True,word1_subject1_nocontext,29,word1,subject1_nocontext,11
30_word2_subject2_nocontext,leased,subject2,the tenant,nocontext,,1,puppy,the tenant,the tenant leased the,leased,the,puppy,Did,tease,the tenant leased the puppy,Did the tenant tease the puppy?,Yes,No,0,0,True,word2_subject2_nocontext,30,word2,subject2_nocontext,11
31_word2_control_neutral_nocontext,erected,neutral,he,nocontext,,1,pants,he,he erected the,erected,the,pants,Did,patch,he erected the pants,Did he patch the pants?,Yes,No,0,0,True,word2_control_neutral_nocontext,31,word2_control,neutral_nocontext,11
32_nonword_neutral_context1,sricked,neutral,he,context1,"when learning to knit, ",1,finger,"when learning to knit, he","when learning to knit, he sricked his",sricked,his,finger,Did,prick,"when learning to knit, he sricked his finger",Did he prick his finger?,Yes,No,0,0,True,nonword_neutral_context1,32,nonword,neutral_context1,11
33_random_neutral_context2,oneished,neutral,he,context2,"after receiving the submission, ",1,patient,"after receiving the submission, he","after receiving the submission, he oneished the",oneished,the,patient,Did,revive,"after receiving the submission, he oneished the patient",Did he revive the patient?,Yes,No,0,0,True,random_neutral_context2,33,random,neutral_context2,11
34_word1_subject1_nocontext,skipped,subject1,the student,nocontext,,1,class,the student,the student skipped the,skipped,the,class,Does,skip,the student skipped the class,Does the student skip the class?,Yes,No,0,0,True,word1_subject1_nocontext,34,word1,subject1_nocontext,11
35_word2_subject2_nocontext,tapped,subject2,the cashier,nocontext,,1,waiter,the cashier,the cashier tapped the,tapped,the,waiter,Does,tip,the cashier tapped the waiter,Does the cashier tip the waiter?,Yes,No,0,0,True,word2_subject2_nocontext,35,word2,subject2_nocontext,11
