item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
11_nonword_subject2_nocontext,prlls,subject2,the host,nocontext,,1,door,the host,the host prlls the,prlls,the,door,Does,pull,the host prlls the door,Does the host pull the door?,Yes,No,0,0,True,nonword_subject2_nocontext,11,nonword,subject2_nocontext,20
12_random_neutral_nocontext,usiled,neutral,he,nocontext,,1,clothes,he,he usiled the,usiled,the,clothes,Did,dry,he usiled the clothes,Did he dry the clothes?,Yes,No,0,0,True,random_neutral_nocontext,12,random,neutral_nocontext,20
13_word1_neutral_context1,failed,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he failed the",failed,the,exam,Did,fail,"despite cramming at the last minute, he failed the exam",Did he fail the exam?,Yes,No,0,0,True,word1_neutral_context1,13,word1,neutral_context1,20
14_word2_neutral_context2,fired,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he fired the",fired,the,lawsuit,Did,file,"after three months of losses, he fired the lawsuit",Did he file the lawsuit?,Yes,No,0,0,True,word2_neutral_context2,14,word2,neutral_context2,20
15_word2_control_subject1_nocontext,plants,subject1,the ferryman,nocontext,,1,boat,the ferryman,the ferryman plants the,plants,the,boat,Does,row,the ferryman plants the boat,Does the ferryman row the boat?,Yes,No,0,0,True,word2_control_subject1_nocontext,15,word2_control,subject1_nocontext,20
16_nonword_subject2_nocontext,segls,subject2,the vendor,nocontext,,1,bottle,the vendor,the vendor segls the,segls,the,bottle,Does,seal,the vendor segls the bottle,Does the vendor seal the bottle?,Yes,No,0,0,True,nonword_subject2_nocontext,16,nonword,subject2_nocontext,20
17_random_neutral_nocontext,gpaled,neutral,he,nocontext,,1,enemy,he,he gpaled the,gpaled,the,enemy,Did,battle,he gpaled the enemy,Did he battle the enemy?,Yes,No,0,0,True,random_neutral_nocontext,17,random,neutral_nocontext,20
18_word1_neutral_context1,believed,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he believed her",believed,her,claim,Did,believe,"after listening to the speech, he believed her claim",Did he believe her claim?,Yes,No,0,0,True,word1_neutral_context1,18,word1,neutral_context1,20
19_word2_neutral_context2,killed,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he killed the",killed,the,client,Did,bill,"in a dark alley, he killed the client",Did he bill the client?,Yes,No,0,0,True,word2_neutral_context2,19,word2,neutral_context2,20
20_word2_control_subject1_nocontext,munches,subject1,the researcher,nocontext,,1,study,the researcher,the researcher munches the,munches,the,study,Does,cite,the researcher munches the study,Does the researcher cite the study?,Yes,No,0,0,True,word2_control_subject1_nocontext,20,word2_control,subject1_nocontext,20
21_nonword_subject2_nocontext,attacmed,subject2,the soldier,nocontext,,1,file,the soldier,the soldier attacmed the,attacmed,the,file,Did,attach,the soldier attacmed the file,Did the soldier attach the file?,Yes,No,0,0,True,nonword_subject2_nocontext,21,nonword,subject2_nocontext,20
22_random_neutral_nocontext,tenrrons,neutral,he,nocontext,,1,fortune,he,he tenrrons a,tenrrons,a,fortune,Does,earn,he tenrrons a fortune,Does he earn a fortune?,Yes,No,0,0,True,random_neutral_nocontext,22,random,neutral_nocontext,20
23_word1_neutral_context1,bumped,neutral,he,context1,"due to the icy road, ",1,car,"due to the icy road, he","due to the icy road, he bumped the",bumped,the,car,Does,bump,"due to the icy road, he bumped the car",Does he bump the car?,Yes,No,0,0,True,word1_neutral_context1,23,word1,neutral_context1,20
24_word2_neutral_context2,closed,neutral,he,context2,"annoyed by the noise outside, ",1,gene,"annoyed by the noise outside, he","annoyed by the noise outside, he closed the",closed,the,gene,Did,clone,"annoyed by the noise outside, he closed the gene",Did he clone the gene?,Yes,No,0,0,True,word2_neutral_context2,24,word2,neutral_context2,20
25_word2_control_subject1_nocontext,mimics,subject1,the sailor,nocontext,,1,boat,the sailor,the sailor mimics the,mimics,the,boat,Does,dock,the sailor mimics the boat,Does the sailor dock the boat?,Yes,No,0,0,True,word2_control_subject1_nocontext,25,word2_control,subject1_nocontext,20
26_nonword_subject2_nocontext,jominated,subject2,the chairman,nocontext,,1,game,the chairman,the chairman jominated the,jominated,the,game,Did,dominate,the chairman jominated the game,Did the chairman dominate the game?,Yes,No,0,0,True,nonword_subject2_nocontext,26,nonword,subject2_nocontext,20
27_random_neutral_nocontext,iguls,neutral,he,nocontext,,1,card,he,he iguls the,iguls,the,card,Does,draw,he iguls the card,Does he draw the card?,Yes,No,0,0,True,random_neutral_nocontext,27,random,neutral_nocontext,20
28_word1_neutral_context1,drills,neutral,he,context1,"in the workshop, ",1,wood,"in the workshop, he","in the workshop, he drills the",drills,the,wood,Does,drill,"in the workshop, he drills the wood",Does he drill the wood?,Yes,No,0,0,True,word1_neutral_context1,28,word1,neutral_context1,20
29_word2_neutral_context2,evaluated,neutral,he,context2,"at the end of the semester, ",1,building,"at the end of the semester, he","at the end of the semester, he evaluated the",evaluated,the,building,Did,evacuate,"at the end of the semester, he evaluated the building",Did he evacuate the building?,Yes,No,0,0,True,word2_neutral_context2,29,word2,neutral_context2,20
30_word2_control_subject1_nocontext,rented,subject1,the kid,nocontext,,1,puppy,the kid,the kid rented the,rented,the,puppy,Did,tease,the kid rented the puppy,Did the kid tease the puppy?,Yes,No,0,0,True,word2_control_subject1_nocontext,30,word2_control,subject1_nocontext,20
31_nonword_subject2_nocontext,pdtched,subject2,the hiker,nocontext,,1,pants,the hiker,the hiker pdtched the,pdtched,the,pants,Did,patch,the hiker pdtched the pants,Did the hiker patch the pants?,Yes,No,0,0,True,nonword_subject2_nocontext,31,nonword,subject2_nocontext,20
32_random_neutral_nocontext,nioled,neutral,he,nocontext,,1,finger,he,he nioled his,nioled,his,finger,Did,prick,he nioled his finger,Did he prick his finger?,Yes,No,0,0,True,random_neutral_nocontext,32,random,neutral_nocontext,20
33_word1_neutral_context1,revived,neutral,he,context1,"in the ICU, ",1,patient,"in the ICU, he","in the ICU, he revived the",revived,the,patient,Did,revive,"in the ICU, he revived the patient",Did he revive the patient?,Yes,No,0,0,True,word1_neutral_context1,33,word1,neutral_context1,20
34_word2_neutral_context2,shipped,neutral,he,context2,"after receiving the order, ",1,class,"after receiving the order, he","after receiving the order, he shipped the",shipped,the,class,Does,skip,"after receiving the order, he shipped the class",Does he skip the class?,Yes,No,0,0,True,word2_neutral_context2,34,word2,neutral_context2,20
35_word2_control_subject1_nocontext,touches,subject1,the customer,nocontext,,1,waiter,the customer,the customer touches the,touches,the,waiter,Does,tip,the customer touches the waiter,Does the customer tip the waiter?,Yes,No,0,0,True,word2_control_subject1_nocontext,35,word2_control,subject1_nocontext,20
