item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
11_word1_subject2_nocontext,pulls,subject2,the host,nocontext,,1,door,the host,the host pulls the,pulls,the,door,Does,pull,the host pulls the door,Does the host pull the door?,Yes,No,0,0,True,word1_subject2_nocontext,11,word1,subject2_nocontext,5
12_word2_neutral_nocontext,fried,neutral,he,nocontext,,1,clothes,he,he fried the,fried,the,clothes,Did,dry,he fried the clothes,Did he dry the clothes?,Yes,No,0,0,True,word2_neutral_nocontext,12,word2,neutral_nocontext,5
13_word2_control_neutral_context1,posted,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he posted the",posted,the,exam,Did,fail,"despite cramming at the last minute, he posted the exam",Did he fail the exam?,Yes,No,0,0,True,word2_control_neutral_context1,13,word2_control,neutral_context1,5
14_nonword_neutral_context2,fiped,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he fiped the",fiped,the,lawsuit,Did,file,"after three months of losses, he fiped the lawsuit",Did he file the lawsuit?,Yes,No,0,0,True,nonword_neutral_context2,14,nonword,neutral_context2,5
15_random_subject1_nocontext,hamnts,subject1,the ferryman,nocontext,,1,boat,the ferryman,the ferryman hamnts the,hamnts,the,boat,Does,row,the ferryman hamnts the boat,Does the ferryman row the boat?,Yes,No,0,0,True,random_subject1_nocontext,15,random,subject1_nocontext,5
16_word1_subject2_nocontext,seals,subject2,the vendor,nocontext,,1,bottle,the vendor,the vendor seals the,seals,the,bottle,Does,seal,the vendor seals the bottle,Does the vendor seal the bottle?,Yes,No,0,0,True,word1_subject2_nocontext,16,word1,subject2_nocontext,5
17_word2_neutral_nocontext,bottled,neutral,he,nocontext,,1,enemy,he,he bottled the,bottled,the,enemy,Did,battle,he bottled the enemy,Did he battle the enemy?,Yes,No,0,0,True,word2_neutral_nocontext,17,word2,neutral_nocontext,5
18_word2_control_neutral_context1,reduced,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he reduced her",reduced,her,claim,Did,believe,"after listening to the speech, he reduced her claim",Did he believe her claim?,Yes,No,0,0,True,word2_control_neutral_context1,18,word2_control,neutral_context1,5
19_nonword_neutral_context2,jilled,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he jilled the",jilled,the,client,Did,bill,"in a dark alley, he jilled the client",Did he bill the client?,Yes,No,0,0,True,nonword_neutral_context2,19,nonword,neutral_context2,5
20_random_subject1_nocontext,tutches,subject1,the researcher,nocontext,,1,study,the researcher,the researcher tutches the,tutches,the,study,Does,cite,the researcher tutches the study,Does the researcher cite the study?,Yes,No,0,0,True,random_subject1_nocontext,20,random,subject1_nocontext,5
21_word1_subject2_nocontext,attached,subject2,the soldier,nocontext,,1,file,the soldier,the soldier attached the,attached,the,file,Did,attach,the soldier attached the file,Did the soldier attach the file?,Yes,No,0,0,True,word1_subject2_nocontext,21,word1,subject2_nocontext,5
22_word2_neutral_nocontext,warns,neutral,he,nocontext,,1,fortune,he,he warns a,warns,a,fortune,Does,earn,he warns a fortune,Does he earn a fortune?,Yes,No,0,0,True,word2_neutral_nocontext,22,word2,neutral_nocontext,5
23_word2_control_neutral_context1,discarded,neutral,he,context1,"due to the icy road, ",1,car,"due to the icy road, he","due to the icy road, he discarded the",discarded,the,car,Does,bump,"due to the icy road, he discarded the car",Does he bump the car?,Yes,No,0,0,True,word2_control_neutral_context1,23,word2_control,neutral_context1,5
24_nonword_neutral_context2,cloled,neutral,he,context2,"annoyed by the noise outside, ",1,gene,"annoyed by the noise outside, he","annoyed by the noise outside, he cloled the",cloled,the,gene,Did,clone,"annoyed by the noise outside, he cloled the gene",Did he clone the gene?,Yes,No,0,0,True,nonword_neutral_context2,24,nonword,neutral_context2,5
25_random_subject1_nocontext,prtics,subject1,the sailor,nocontext,,1,boat,the sailor,the sailor prtics the,prtics,the,boat,Does,dock,the sailor prtics the boat,Does the sailor dock the boat?,Yes,No,0,0,True,random_subject1_nocontext,25,random,subject1_nocontext,5
26_word1_subject2_nocontext,dominated,subject2,the chairman,nocontext,,1,game,the chairman,the chairman dominated the,dominated,the,game,Did,dominate,the chairman dominated the game,Did the chairman dominate the game?,Yes,No,0,0,True,word1_subject2_nocontext,26,word1,subject2_nocontext,5
27_word2_neutral_nocontext,drags,neutral,he,nocontext,,1,card,he,he drags the,drags,the,card,Does,draw,he drags the card,Does he draw the card?,Yes,No,0,0,True,word2_neutral_nocontext,27,word2,neutral_nocontext,5
28_word2_control_neutral_context1,broils,neutral,he,context1,"in the workshop, ",1,wood,"in the workshop, he","in the workshop, he broils the",broils,the,wood,Does,drill,"in the workshop, he broils the wood",Does he drill the wood?,Yes,No,0,0,True,word2_control_neutral_context1,28,word2_control,neutral_context1,5
29_nonword_neutral_context2,evatuated,neutral,he,context2,"at the end of the semester, ",1,building,"at the end of the semester, he","at the end of the semester, he evatuated the",evatuated,the,building,Did,evacuate,"at the end of the semester, he evatuated the building",Did he evacuate the building?,Yes,No,0,0,True,nonword_neutral_context2,29,nonword,neutral_context2,5
30_random_subject1_nocontext,thnted,subject1,the kid,nocontext,,1,puppy,the kid,the kid thnted the,thnted,the,puppy,Did,tease,the kid thnted the puppy,Did the kid tease the puppy?,Yes,No,0,0,True,random_subject1_nocontext,30,random,subject1_nocontext,5
31_word1_subject2_nocontext,patched,subject2,the hiker,nocontext,,1,pants,the hiker,the hiker patched the,patched,the,pants,Did,patch,the hiker patched the pants,Did the hiker patch the pants?,Yes,No,0,0,True,word1_subject2_nocontext,31,word1,subject2_nocontext,5
32_word2_neutral_nocontext,tricked,neutral,he,nocontext,,1,finger,he,he tricked his,tricked,his,finger,Did,prick,he tricked his finger,Did he prick his finger?,Yes,No,0,0,True,word2_neutral_nocontext,32,word2,neutral_nocontext,5
33_word2_control_neutral_context1,polished,neutral,he,context1,"in the ICU, ",1,patient,"in the ICU, he","in the ICU, he polished the",polished,the,patient,Did,revive,"in the ICU, he polished the patient",Did he revive the patient?,Yes,No,0,0,True,word2_control_neutral_context1,33,word2_control,neutral_context1,5
34_nonword_neutral_context2,svipped,neutral,he,context2,"after receiving the order, ",1,class,"after receiving the order, he","after receiving the order, he svipped the",svipped,the,class,Does,skip,"after receiving the order, he svipped the class",Does he skip the class?,Yes,No,0,0,True,nonword_neutral_context2,34,nonword,neutral_context2,5
35_random_subject1_nocontext,aglches,subject1,the customer,nocontext,,1,waiter,the customer,the customer aglches the,aglches,the,waiter,Does,tip,the customer aglches the waiter,Does the customer tip the waiter?,Yes,No,0,0,True,random_subject1_nocontext,35,random,subject1_nocontext,5
