item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
23_word2_control_neutral_context2,discarded,neutral,he,context2,"inside the garbage room, ",1,car,"inside the garbage room, he","inside the garbage room, he discarded the",discarded,the,car,Does,bump,"inside the garbage room, he discarded the car",Does he bump the car?,Yes,No,0,0,True,word2_control_neutral_context2,23,word2_control,neutral_context2,1
24_nonword_subject1_nocontext,cloled,subject1,the scientist,nocontext,,1,gene,the scientist,the scientist cloled the,cloled,the,gene,Did,clone,the scientist cloled the gene,Did the scientist clone the gene?,Yes,No,0,0,True,nonword_subject1_nocontext,24,nonword,subject1_nocontext,1
25_random_subject2_nocontext,prtics,subject2,the naughty boy,nocontext,,1,boat,the naughty boy,the naughty boy prtics the,prtics,the,boat,Does,dock,the naughty boy prtics the boat,Does the naughty boy dock the boat?,Yes,No,0,0,True,random_subject2_nocontext,25,random,subject2_nocontext,1
26_word1_neutral_nocontext,dominated,neutral,he,nocontext,,1,game,he,he dominated the,dominated,the,game,Did,dominate,he dominated the game,Did he dominate the game?,Yes,No,0,0,True,word1_neutral_nocontext,26,word1,neutral_nocontext,1
27_word2_neutral_context1,drags,neutral,he,context1,"at the poker table, ",1,card,"at the poker table, he","at the poker table, he drags the",drags,the,card,Does,draw,"at the poker table, he drags the card",Does he draw the card?,Yes,No,0,0,True,word2_neutral_context1,27,word2,neutral_context1,1
28_word2_control_neutral_context2,broils,neutral,he,context2,"at the BBQ restaurant, ",1,wood,"at the BBQ restaurant, he","at the BBQ restaurant, he broils the",broils,the,wood,Does,drill,"at the BBQ restaurant, he broils the wood",Does he drill the wood?,Yes,No,0,0,True,word2_control_neutral_context2,28,word2_control,neutral_context2,1
29_nonword_subject1_nocontext,evatuated,subject1,the security staff,nocontext,,1,building,the security staff,the security staff evatuated the,evatuated,the,building,Did,evacuate,the security staff evatuated the building,Did the security staff evacuate the building?,Yes,No,0,0,True,nonword_subject1_nocontext,29,nonword,subject1_nocontext,1
30_random_subject2_nocontext,thnted,subject2,the tenant,nocontext,,1,puppy,the tenant,the tenant thnted the,thnted,the,puppy,Did,tease,the tenant thnted the puppy,Did the tenant tease the puppy?,Yes,No,0,0,True,random_subject2_nocontext,30,random,subject2_nocontext,1
31_word1_neutral_nocontext,patched,neutral,he,nocontext,,1,pants,he,he patched the,patched,the,pants,Did,patch,he patched the pants,Did he patch the pants?,Yes,No,0,0,True,word1_neutral_nocontext,31,word1,neutral_nocontext,1
32_word2_neutral_context1,tricked,neutral,he,context1,"when learning to knit, ",1,finger,"when learning to knit, he","when learning to knit, he tricked his",tricked,his,finger,Did,prick,"when learning to knit, he tricked his finger",Did he prick his finger?,Yes,No,0,0,True,word2_neutral_context1,32,word2,neutral_context1,1
33_word2_control_neutral_context2,polished,neutral,he,context2,"after receiving the submission, ",1,patient,"after receiving the submission, he","after receiving the submission, he polished the",polished,the,patient,Did,revive,"after receiving the submission, he polished the patient",Did he revive the patient?,Yes,No,0,0,True,word2_control_neutral_context2,33,word2_control,neutral_context2,1
34_nonword_subject1_nocontext,svipped,subject1,the student,nocontext,,1,class,the student,the student svipped the,svipped,the,class,Does,skip,the student svipped the class,Does the student skip the class?,Yes,No,0,0,True,nonword_subject1_nocontext,34,nonword,subject1_nocontext,1
35_random_subject2_nocontext,aglches,subject2,the cashier,nocontext,,1,waiter,the cashier,the cashier aglches the,aglches,the,waiter,Does,tip,the cashier aglches the waiter,Does the cashier tip the waiter?,Yes,No,0,0,True,random_subject2_nocontext,35,random,subject2_nocontext,1
