item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
15_word1_neutral_context2,rows,neutral,he,context2,"in the field, ",1,boat,"in the field, he","in the field, he rows the",rows,the,boat,Does,row,"in the field, he rows the boat",Does he row the boat?,Yes,No,0,0,True,word1_neutral_context2,15,word1,neutral_context2,9
16_word2_subject1_nocontext,sells,subject1,the brewer,nocontext,,1,bottle,the brewer,the brewer sells the,sells,the,bottle,Does,seal,the brewer sells the bottle,Does the brewer seal the bottle?,Yes,No,0,0,True,word2_subject1_nocontext,16,word2,subject1_nocontext,9
17_word2_control_subject2_nocontext,vialed,subject2,the lab technician,nocontext,,1,enemy,the lab technician,the lab technician vialed the,vialed,the,enemy,Did,battle,the lab technician vialed the enemy,Did the lab technician battle the enemy?,Yes,No,0,0,True,word2_control_subject2_nocontext,17,word2_control,subject2_nocontext,9
18_nonword_neutral_nocontext,oelieved,neutral,he,nocontext,,1,claim,he,he oelieved her,oelieved,her,claim,Did,believe,he oelieved her claim,Did he believe her claim?,Yes,No,0,0,True,nonword_neutral_nocontext,18,nonword,neutral_nocontext,9
19_random_neutral_context1,vícgered,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he vícgered the",vícgered,the,client,Did,bill,"after a thoughtful conversation, he vícgered the client",Did he bill the client?,Yes,No,0,0,True,random_neutral_context1,19,random,neutral_context1,9
20_word1_neutral_context2,cites,neutral,he,context2,"in the canteen, ",1,study,"in the canteen, he","in the canteen, he cites the",cites,the,study,Does,cite,"in the canteen, he cites the study",Does he cite the study?,Yes,No,0,0,True,word1_neutral_context2,20,word1,neutral_context2,9
21_word2_subject1_nocontext,attacked,subject1,the secretary,nocontext,,1,file,the secretary,the secretary attacked the,attacked,the,file,Did,attach,the secretary attacked the file,Did the secretary attach the file?,Yes,No,0,0,True,word2_subject1_nocontext,21,word2,subject1_nocontext,9
22_word2_control_subject2_nocontext,cautions,subject2,the policeman,nocontext,,1,fortune,the policeman,the policeman cautions a,cautions,a,fortune,Does,earn,the policeman cautions a fortune,Does the policeman earn a fortune?,Yes,No,0,0,True,word2_control_subject2_nocontext,22,word2_control,subject2_nocontext,9
23_nonword_neutral_nocontext,fumped,neutral,he,nocontext,,1,car,he,he fumped the,fumped,the,car,Does,bump,he fumped the car,Does he bump the car?,Yes,No,0,0,True,nonword_neutral_nocontext,23,nonword,neutral_nocontext,9
24_random_neutral_context1,afed,neutral,he,context1,"in the biology lab, ",1,gene,"in the biology lab, he","in the biology lab, he afed the",afed,the,gene,Did,clone,"in the biology lab, he afed the gene",Did he clone the gene?,Yes,No,0,0,True,random_neutral_context1,24,random,neutral_context1,9
25_word1_neutral_context2,docks,neutral,he,context2,"trying to be playful, ",1,boat,"trying to be playful, he","trying to be playful, he docks the",docks,the,boat,Does,dock,"trying to be playful, he docks the boat",Does he dock the boat?,Yes,No,0,0,True,word1_neutral_context2,25,word1,neutral_context2,9
26_word2_subject1_nocontext,nominated,subject1,the superstar,nocontext,,1,game,the superstar,the superstar nominated the,nominated,the,game,Did,dominate,the superstar nominated the game,Did the superstar dominate the game?,Yes,No,0,0,True,word2_subject1_nocontext,26,word2,subject1_nocontext,9
27_word2_control_subject2_nocontext,hauls,subject2,the traveller,nocontext,,1,card,the traveller,the traveller hauls the,hauls,the,card,Does,draw,the traveller hauls the card,Does the traveller draw the card?,Yes,No,0,0,True,word2_control_subject2_nocontext,27,word2_control,subject2_nocontext,9
28_nonword_neutral_nocontext,qrills,neutral,he,nocontext,,1,wood,he,he qrills the,qrills,the,wood,Does,drill,he qrills the wood,Does he drill the wood?,Yes,No,0,0,True,nonword_neutral_nocontext,28,nonword,neutral_nocontext,9
29_random_neutral_context1,mulussed,neutral,he,context1,"due to the risk of an explosion, ",1,building,"due to the risk of an explosion, he","due to the risk of an explosion, he mulussed the",mulussed,the,building,Did,evacuate,"due to the risk of an explosion, he mulussed the building",Did he evacuate the building?,Yes,No,0,0,True,random_neutral_context1,29,random,neutral_context1,9
30_word1_neutral_context2,teased,neutral,he,context2,"in the trendy neighborhood, ",1,puppy,"in the trendy neighborhood, he","in the trendy neighborhood, he teased the",teased,the,puppy,Did,tease,"in the trendy neighborhood, he teased the puppy",Did he tease the puppy?,Yes,No,0,0,True,word1_neutral_context2,30,word1,neutral_context2,9
31_word2_subject1_nocontext,pitched,subject1,the tailor,nocontext,,1,pants,the tailor,the tailor pitched the,pitched,the,pants,Did,patch,the tailor pitched the pants,Did the tailor patch the pants?,Yes,No,0,0,True,word2_subject1_nocontext,31,word2,subject1_nocontext,9
32_word2_control_subject2_nocontext,fooled,subject2,the cheeky brother,nocontext,,1,finger,the cheeky brother,the cheeky brother fooled his,fooled,his,finger,Did,prick,the cheeky brother fooled his finger,Did the cheeky brother prick his finger?,Yes,No,0,0,True,word2_control_subject2_nocontext,32,word2_control,subject2_nocontext,9
33_nonword_neutral_nocontext,revijed,neutral,he,nocontext,,1,patient,he,he revijed the,revijed,the,patient,Did,revive,he revijed the patient,Did he revive the patient?,Yes,No,0,0,True,nonword_neutral_nocontext,33,nonword,neutral_nocontext,9
34_random_neutral_context1,ednds,neutral,he,context1,"after staying up too late at a party, ",1,class,"after staying up too late at a party, he","after staying up too late at a party, he ednds the",ednds,the,class,Does,skip,"after staying up too late at a party, he ednds the class",Does he skip the class?,Yes,No,0,0,True,random_neutral_context1,34,random,neutral_context1,9
35_word1_neutral_context2,tipped,neutral,he,context2,"at the checkout counter, ",1,waiter,"at the checkout counter, he","at the checkout counter, he tipped the",tipped,the,waiter,Does,tip,"at the checkout counter, he tipped the waiter",Does he tip the waiter?,Yes,No,0,0,True,word1_neutral_context2,35,word1,neutral_context2,9
