item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
24_word2_subject2_nocontext,closed,subject2,the teacher,nocontext,,1,gene,the teacher,the teacher closed the,closed,the,gene,Did,clone,the teacher closed the gene,Did the teacher clone the gene?,Yes,No,0,0,True,word2_subject2_nocontext,24,word2,subject2_nocontext,17
25_word2_control_neutral_nocontext,mimics,neutral,he,nocontext,,1,boat,he,he mimics the,mimics,the,boat,Does,dock,he mimics the boat,Does he dock the boat?,Yes,No,0,0,True,word2_control_neutral_nocontext,25,word2_control,neutral_nocontext,17
26_nonword_neutral_context1,jominated,neutral,he,context1,"in the final round of the tournament, ",1,game,"in the final round of the tournament, he","in the final round of the tournament, he jominated the",jominated,the,game,Did,dominate,"in the final round of the tournament, he jominated the game",Did he dominate the game?,Yes,No,0,0,True,nonword_neutral_context1,26,nonword,neutral_context1,17
27_random_neutral_context2,iguls,neutral,he,context2,"on the train platform, ",1,card,"on the train platform, he","on the train platform, he iguls the",iguls,the,card,Does,draw,"on the train platform, he iguls the card",Does he draw the card?,Yes,No,0,0,True,random_neutral_context2,27,random,neutral_context2,17
28_word1_subject1_nocontext,drills,subject1,the carpenter,nocontext,,1,wood,the carpenter,the carpenter drills the,drills,the,wood,Does,drill,the carpenter drills the wood,Does the carpenter drill the wood?,Yes,No,0,0,True,word1_subject1_nocontext,28,word1,subject1_nocontext,17
29_word2_subject2_nocontext,evaluated,subject2,the professor,nocontext,,1,building,the professor,the professor evaluated the,evaluated,the,building,Did,evacuate,the professor evaluated the building,Did the professor evacuate the building?,Yes,No,0,0,True,word2_subject2_nocontext,29,word2,subject2_nocontext,17
30_word2_control_neutral_nocontext,rented,neutral,he,nocontext,,1,puppy,he,he rented the,rented,the,puppy,Did,tease,he rented the puppy,Did he tease the puppy?,Yes,No,0,0,True,word2_control_neutral_nocontext,30,word2_control,neutral_nocontext,17
31_nonword_neutral_context1,pdtched,neutral,he,context1,"with a sewing machine, ",1,pants,"with a sewing machine, he","with a sewing machine, he pdtched the",pdtched,the,pants,Did,patch,"with a sewing machine, he pdtched the pants",Did he patch the pants?,Yes,No,0,0,True,nonword_neutral_context1,31,nonword,neutral_context1,17
32_random_neutral_context2,nioled,neutral,he,context2,"in a hide-and-seek game, ",1,finger,"in a hide-and-seek game, he","in a hide-and-seek game, he nioled his",nioled,his,finger,Did,prick,"in a hide-and-seek game, he nioled his finger",Did he prick his finger?,Yes,No,0,0,True,random_neutral_context2,32,random,neutral_context2,17
33_word1_subject1_nocontext,revived,subject1,the doctor,nocontext,,1,patient,the doctor,the doctor revived the,revived,the,patient,Did,revive,the doctor revived the patient,Did the doctor revive the patient?,Yes,No,0,0,True,word1_subject1_nocontext,33,word1,subject1_nocontext,17
34_word2_subject2_nocontext,shipped,subject2,the seller,nocontext,,1,class,the seller,the seller shipped the,shipped,the,class,Does,skip,the seller shipped the class,Does the seller skip the class?,Yes,No,0,0,True,word2_subject2_nocontext,34,word2,subject2_nocontext,17
35_word2_control_neutral_nocontext,touches,neutral,he,nocontext,,1,waiter,he,he touches the,touches,the,waiter,Does,tip,he touches the waiter,Does he tip the waiter?,Yes,No,0,0,True,word2_control_neutral_nocontext,35,word2_control,neutral_nocontext,17
