item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
12_nonword_neutral_context2,aried,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he aried the",aried,the,clothes,Did,dry,"in the kitchen, he aried the clothes",Did he dry the clothes?,Yes,No,0,0,True,nonword_neutral_context2,12,nonword,neutral_context2,12
13_random_subject1_nocontext,ftsted,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student ftsted the,ftsted,the,exam,Did,fail,the lazy student ftsted the exam,Did the lazy student fail the exam?,Yes,No,0,0,True,random_subject1_nocontext,13,random,subject1_nocontext,12
14_word1_subject2_nocontext,filed,subject2,the angry boss,nocontext,,1,lawsuit,the angry boss,the angry boss filed the,filed,the,lawsuit,Did,file,the angry boss filed the lawsuit,Did the angry boss file the lawsuit?,Yes,No,0,0,True,word1_subject2_nocontext,14,word1,subject2_nocontext,12
15_word2_neutral_nocontext,sows,neutral,he,nocontext,,1,boat,he,he sows the,sows,the,boat,Does,row,he sows the boat,Does he row the boat?,Yes,No,0,0,True,word2_neutral_nocontext,15,word2,neutral_nocontext,12
16_word2_control_neutral_context1,offers,neutral,he,context1,"in the brewery, ",1,bottle,"in the brewery, he","in the brewery, he offers the",offers,the,bottle,Does,seal,"in the brewery, he offers the bottle",Does he seal the bottle?,Yes,No,0,0,True,word2_control_neutral_context1,16,word2_control,neutral_context1,12
17_nonword_neutral_context2,byttled,neutral,he,context2,"in the chemistry lab, ",1,enemy,"in the chemistry lab, he","in the chemistry lab, he byttled the",byttled,the,enemy,Did,battle,"in the chemistry lab, he byttled the enemy",Did he battle the enemy?,Yes,No,0,0,True,nonword_neutral_context2,17,nonword,neutral_context2,12
18_random_subject1_nocontext,swenced,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person swenced her,swenced,her,claim,Did,believe,the gullible person swenced her claim,Did the gullible person believe her claim?,Yes,No,0,0,True,random_subject1_nocontext,18,random,subject1_nocontext,12
19_word1_subject2_nocontext,billed,subject2,the suspect,nocontext,,1,client,the suspect,the suspect billed the,billed,the,client,Did,bill,the suspect billed the client,Did the suspect bill the client?,Yes,No,0,0,True,word1_subject2_nocontext,19,word1,subject2_nocontext,12
20_word2_neutral_nocontext,bites,neutral,he,nocontext,,1,study,he,he bites the,bites,the,study,Does,cite,he bites the study,Does he cite the study?,Yes,No,0,0,True,word2_neutral_nocontext,20,word2,neutral_nocontext,12
21_word2_control_neutral_context1,struck,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he struck the",struck,the,file,Did,attach,"in the email, he struck the file",Did he attach the file?,Yes,No,0,0,True,word2_control_neutral_context1,21,word2_control,neutral_context1,12
22_nonword_neutral_context2,narns,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he narns a",narns,a,fortune,Does,earn,"during the march, he narns a fortune",Does he earn a fortune?,Yes,No,0,0,True,nonword_neutral_context2,22,nonword,neutral_context2,12
23_random_subject1_nocontext,buryarded,subject1,the driver,nocontext,,1,car,the driver,the driver buryarded the,buryarded,the,car,Does,bump,the driver buryarded the car,Does the driver bump the car?,Yes,No,0,0,True,random_subject1_nocontext,23,random,subject1_nocontext,12
24_word1_subject2_nocontext,cloned,subject2,the teacher,nocontext,,1,gene,the teacher,the teacher cloned the,cloned,the,gene,Did,clone,the teacher cloned the gene,Did the teacher clone the gene?,Yes,No,0,0,True,word1_subject2_nocontext,24,word1,subject2_nocontext,12
25_word2_neutral_nocontext,mocks,neutral,he,nocontext,,1,boat,he,he mocks the,mocks,the,boat,Does,dock,he mocks the boat,Does he dock the boat?,Yes,No,0,0,True,word2_neutral_nocontext,25,word2,neutral_nocontext,12
26_word2_control_neutral_context1,recommended,neutral,he,context1,"in the final round of the tournament, ",1,game,"in the final round of the tournament, he","in the final round of the tournament, he recommended the",recommended,the,game,Did,dominate,"in the final round of the tournament, he recommended the game",Did he dominate the game?,Yes,No,0,0,True,word2_control_neutral_context1,26,word2_control,neutral_context1,12
27_nonword_neutral_context2,drazs,neutral,he,context2,"on the train platform, ",1,card,"on the train platform, he","on the train platform, he drazs the",drazs,the,card,Does,draw,"on the train platform, he drazs the card",Does he draw the card?,Yes,No,0,0,True,nonword_neutral_context2,27,nonword,neutral_context2,12
28_random_subject1_nocontext,yuails,subject1,the carpenter,nocontext,,1,wood,the carpenter,the carpenter yuails the,yuails,the,wood,Does,drill,the carpenter yuails the wood,Does the carpenter drill the wood?,Yes,No,0,0,True,random_subject1_nocontext,28,random,subject1_nocontext,12
29_word1_subject2_nocontext,evacuated,subject2,the professor,nocontext,,1,building,the professor,the professor evacuated the,evacuated,the,building,Did,evacuate,the professor evacuated the building,Did the professor evacuate the building?,Yes,No,0,0,True,word1_subject2_nocontext,29,word1,subject2_nocontext,12
30_word2_neutral_nocontext,leased,neutral,he,nocontext,,1,puppy,he,he leased the,leased,the,puppy,Did,tease,he leased the puppy,Did he tease the puppy?,Yes,No,0,0,True,word2_neutral_nocontext,30,word2,neutral_nocontext,12
31_word2_control_neutral_context1,erected,neutral,he,context1,"with a sewing machine, ",1,pants,"with a sewing machine, he","with a sewing machine, he erected the",erected,the,pants,Did,patch,"with a sewing machine, he erected the pants",Did he patch the pants?,Yes,No,0,0,True,word2_control_neutral_context1,31,word2_control,neutral_context1,12
32_nonword_neutral_context2,sricked,neutral,he,context2,"in a hide-and-seek game, ",1,finger,"in a hide-and-seek game, he","in a hide-and-seek game, he sricked his",sricked,his,finger,Did,prick,"in a hide-and-seek game, he sricked his finger",Did he prick his finger?,Yes,No,0,0,True,nonword_neutral_context2,32,nonword,neutral_context2,12
33_random_subject1_nocontext,oneished,subject1,the doctor,nocontext,,1,patient,the doctor,the doctor oneished the,oneished,the,patient,Did,revive,the doctor oneished the patient,Did the doctor revive the patient?,Yes,No,0,0,True,random_subject1_nocontext,33,random,subject1_nocontext,12
34_word1_subject2_nocontext,skipped,subject2,the seller,nocontext,,1,class,the seller,the seller skipped the,skipped,the,class,Does,skip,the seller skipped the class,Does the seller skip the class?,Yes,No,0,0,True,word1_subject2_nocontext,34,word1,subject2_nocontext,12
35_word2_neutral_nocontext,tapped,neutral,he,nocontext,,1,waiter,he,he tapped the,tapped,the,waiter,Does,tip,he tapped the waiter,Does he tip the waiter?,Yes,No,0,0,True,word2_neutral_nocontext,35,word2,neutral_nocontext,12
